,Z1,Z2,Z3,Z4,Z5
346,-0.023859346,-0.31701675,-0.1863344,0.15362202,0.23334433
347,0.5411295,0.36211917,0.30713305,-0.49670318,-0.027392605
348,0.15617192,0.26783365,-0.020003146,0.2843404,-0.58038265
349,0.3856257,-0.37767258,0.056232292,0.19487631,-0.5056658
350,0.113091774,-0.010334982,-0.17642011,-0.14776725,0.3816756
351,-0.09862558,0.013331299,-0.044609014,-0.6317241,-0.24701525
352,0.056001373,0.47776735,0.22296067,0.11714679,0.32709792
353,0.49388182,-0.05302294,0.3698727,0.0814176,-0.29687968
354,0.53264844,0.12601641,-0.46315616,0.01907849,-0.21368325
355,-0.45648646,0.003796619,-0.06791277,0.38652596,0.14720231
356,-0.07626398,0.18146987,0.2791673,-0.11785595,-0.5371332
357,0.048385315,0.36086136,-0.34160793,0.24569982,-0.5416623
358,-0.010021582,-0.3219285,0.17037465,0.108945906,-0.29227626
359,-0.63836443,-0.062435437,-0.28006163,-0.19580027,0.12559083
360,-0.20295419,-0.32662898,-0.5680002,0.1924184,-0.10712646
361,0.025655815,-0.34867787,-0.09718466,-0.7216968,0.034822684
